id,uf_id,name,populacao,regiao,INEAB,INEAB_FAIXA,COBERTURA_AB,FAIXA_COBERTURA_AB,NOTA_COBERTURA_AB,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT,MORT_MAT_FAIXA,NOTA_MORT_MAT,MORT INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,OBS,VACINAÇÃO_FAIXA,DESPESA SAUDE_PER CAPITA,FAIXA_DESP_SAUDE_P,NOTA_DESP_SAUDE_P,EMENDAS_TOTAL,EMENDAS_PERCAP,FAIXA_EMENDAS_P,ICSAP,ICSAP_FAIXA,CONSULTAS_APS_HAB,FAIXA_CONSULTAS_APS_HAB,PRE_NATAL,PRE_NATAL_FAIXA,POP_SUS,TETO_EMENDAS_MS,TETO_EMENDAS_PERCAP,TETO EMENDAS_AJUSTADO,TETO_AJUSTADO_PERCAP,FAIXA_TETO_AJUSTADO_PERCAP,EMENDAS_CUSTEIO,EMENDAS_INVESTIMENTO,EMENDAS_IND_24,EMENDAS_IND_24_CUSTEIO,EMENDAS_IND_24_INVES,EMENDAS_COMISS_24,EMENDAS_COMISS_24_CUSTEIO,EMENDAS_COMISS_24_INVEST,EMENDAS_BANC_24,EMENDAS_BANC_24_CUSTEIO,EMENDAS_BANC_24_INVES,EMENDAS_REL_24,EMENDAS_REL_24_CUSTEIO,EMENDAS_REL_24_INVES
43009,43,REGIAO 09,395961,Sul,"0,3790378345",Baixa,"0,9506666765",Alta,"0,4","0,8239952925",Baixa,"0,4","176,2799872",Alta,"0,8","24,79387904",Baixa,"0,4","5,880089208",Baixa,"0,4","0,8427519074",,Baixa,"1173,886502",Muito Baixa,"0,2",24093005,"60,84691422",Média,"136,3770674",Baixa,"2,011778938",Baixa,"0,7804536544",Muito Baixa,326270,"46362847,26","117,0894287","16334888,5","41,25378131",Baixa,17462871,6630134,18561684,12063880,6497804,5191321,5058991,132330,340000,340000,0,0,0,0
43010,43,REGIAO 10,2239990,Sul,"0,2283152693",Muito Baixa,"1,109353603",Completa,"0,2","0,6342090813",Muito Baixa,"0,2","170,8043339",Média,"0,6","19,43890493",Muito Baixa,"0,2","5,935578912",Baixa,"0,4","0,8891147636",,Média,"1544,313153",Média,"0,6",24727286,"11,03901625",Muito Baixa,"161,0721476",Baixa,"1,892443716",Muito Baixa,"0,8016855954",Muito Baixa,1420622,"206540463,5","92,20597571","72769806,9","32,48666597",Muito Baixa,16849402,7877884,22067645,14120963,7946682,2729000,2729000,0,0,0,0,0,0,0
43011,43,REGIAO 11,285494,Sul,"0,5579748086",Alta,"0,8818396338",Média,"0,6","0,8999593687",Média,"0,6","172,3328686",Alta,"0,8","55,14030209",Alta,"0,8","5,899613913",Baixa,"0,4","0,9400241629",,Muito Alta,"1326,166758",Baixa,"0,4",18738739,"65,636192",Alta,"194,0496123",Alta,"2,890253385",Alta,"0,8135400908",Muito Baixa,256933,48657458,"170,4325065","17143342,1","60,04799434",Alta,12401717,6337022,17069933,10732911,6337022,1668806,1668806,0,0,0,0,0,0,0
43012,43,REGIAO 12,127601,Sul,"0,7764973629",Muito Alta,"0,7579817629",Baixa,"0,8","0,8823833669",Média,"0,6","221,0014028",Muito Alta,1,"95,33626219",Muito Alta,1,"7,106081758",Alta,"0,8","0,9180346386",,Alta,"1662,008759",Alta,"0,8",13189925,"103,3685081",Muito Alta,"137,9299535",Baixa,"3,68224387",Muito Alta,"0,8925556408",Alta,112593,"22399475,5","175,5431031","7891942,717","61,84859615",Muito Alta,7047869,6142056,10246720,4368969,5877751,2743205,2478900,264305,200000,200000,0,0,0,0
43013,43,REGIAO 13,234900,Sul,"0,3822140485",Baixa,"0,8366624054",Média,"0,6","0,7962792678",Baixa,"0,4","105,5768412",Muito Baixa,"0,2","25,47244605",Baixa,"0,4","6,619218989",Média,"0,6","0,8965083232",,Média,"1568,812382",Média,"0,6",13935046,"59,32331205",Média,"160,0681141",Baixa,"3,598492976",Muito Alta,"0,9035441902",Muito Alta,187046,"39884146,01","169,7920222","14052266,34","59,82233435",Alta,8852500,5082546,11532570,6950000,4582570,2202476,1702500,499976,200000,200000,0,0,0,0
43014,43,REGIAO 14,236504,Sul,"0,4861049285",Média,"0,8386130743",Média,"0,6","0,8680445151",Média,"0,6","145,4520854",Baixa,"0,4","53,5907431",Alta,"0,8","3,141047417",Muito Baixa,"0,2","0,891787234",,Média,"1794,62557",Muito Alta,1,10771084,"45,54292528",Baixa,"166,5933769",Média,"3,384306397",Alta,"0,8437361664",Baixa,205296,"39778305,78","168,1929514","14014975,96","59,25893836",Alta,6330000,4441084,10421084,5980000,4441084,350000,350000,0,0,0,0,0,0,0
43015,43,REGIAO 15 - CAMINHO DAS AGUAS,194699,Sul,"0,6032471661",Muito Alta,"0,7471674814",Baixa,"0,8","0,9140108578",Média,"0,6","156,1384496",Média,"0,6","44,57018314",Média,"0,6","6,945807734",Média,"0,6","0,9240178571",,Alta,"1550,475916",Média,"0,6",19046893,"97,8273797",Muito Alta,"288,1370731",Muito Alta,"4,209353926",Muito Alta,"0,8626550299",Média,177957,"39454708,14","202,6446368","13900963,73","71,39720149",Muito Alta,13817648,5229245,"16177771,5","11080879,5",5096892,2150471,2018118,132353,719204,719204,0,0,0,0
43016,43,REGIAO 16,239574,Sul,"0,5648387555",Alta,"0,7255708785",Baixa,"0,8","0,8306452286",Baixa,"0,4","135,2400511",Muito Baixa,"0,2","51,59466654",Alta,"0,8","7,841461059",Alta,"0,8","0,8866993064",,Média,"1588,281351",Alta,"0,8",23426569,"97,78427125",Muito Alta,"169,4674714",Média,"3,19421974",Alta,"0,8403677392",Baixa,199001,"43573906,51","181,8807822","15352269,04","64,08153237",Muito Alta,18495509,4931060,"20270970,73","15329937,2","4941033,53",2804520,2804520,0,380796,380796,0,0,0,0
43017,43,REGIAO 17 - PLANALTO,432110,Sul,"0,4078047256",Baixa,"1,10464508",Completa,"0,2","0,8156094513",Baixa,"0,4","161,532943",Média,"0,6","53,0504581",Alta,"0,8","6,416651258",Média,"0,6","0,8685019738",,Baixa,"1437,350547",Baixa,"0,4",21095692,"48,8201893",Média,"166,1613941",Média,"2,80478119",Alta,"0,8709265176",Média,352433,"46006835,01","106,4701928","16209455,73","37,51233651",Muito Baixa,17351040,3744652,15788389,12543582,3244807,4822285,4322440,499845,485018,485018,0,0,0,0
43018,43,REGIAO 18,134594,Sul,"0,5748982867",Alta,"0,7730822611",Baixa,"0,8","0,9272553011",Alta,"0,8","150,8239595",Baixa,"0,4","113,0547079",Muito Alta,1,"4,711952323",Muito Baixa,"0,2","0,9208127208",,Alta,"1544,833595",Média,"0,6",10835532,"80,50531227",Alta,"155,2818105",Baixa,"4,458311663",Muito Alta,"0,8728323699",Alta,124803,"20788658,35","154,4545697","7324408,149","54,41853388",Alta,9462811,1372721,9014282,7641561,1372721,1821250,1821250,0,0,0,0,0,0,0
43019,43,REGIAO 19,113569,Sul,"0,7610953693",Muito Alta,"0,7509180051",Baixa,"0,8","0,9060659159",Média,"0,6","198,117444",Muito Alta,1,"55,85284562",Alta,"0,8","8,515847365",Muito Alta,1,"0,8726351351",,Média,"1277,855643",Baixa,"0,4",11990594,"105,5798149",Muito Alta,"190,1927463",Alta,"4,154883815",Muito Alta,"0,787456446",Muito Baixa,102901,"22350336,87","196,7996273","7874629,846","69,33784612",Muito Alta,9880079,2110515,8920556,6810041,2110515,2670038,2670038,0,400000,400000,0,0,0,0
43020,43,REGIAO 20 - ROTA DA PRODUCAO,163425,Sul,"0,5873847942",Alta,"0,6586980902",Muito Baixa,1,"0,9473948294",Alta,"0,8","156,0348784",Média,"0,6","31,68157498",Baixa,"0,4","5,048031969",Muito Baixa,"0,2","0,9399253731",,Alta,"1634,704216",Alta,"0,8",22868544,"139,9329601",Muito Alta,"256,9986232",Muito Alta,"4,736625363",Muito Alta,"0,8536585366",Baixa,154828,"33263456,05","203,5395811","11719617,71","71,71251465",Muito Alta,18222639,4645905,17833100,13387766,4445334,4835444,4634873,200571,200000,200000,0,0,0,0
43021,43,REGIAO 21,842663,Sul,"0,4788931281",Média,"0,9331308553",Alta,"0,4","0,8551663002",Média,"0,6","202,4534126",Muito Alta,1,"16,43345851",Muito Baixa,"0,2","7,946654689",Alta,"0,8","0,8006366892",,Muito Baixa,"1266,033498",Baixa,"0,4","23928160,63","28,3958838",Muito Baixa,"143,7110684",Baixa,"1,739411841",Muito Baixa,"0,7443538688",Muito Baixa,720617,"99155026,66","117,6686607","34935005,09","41,45786048",Baixa,18124688,"5803472,63","16544192,63",10740720,"5803472,63",7283968,7283968,0,100000,100000,0,0,0,0
43022,43,REGIAO 22,188635,Sul,"0,5536183635",Alta,"1,075861744",Completa,"0,2","0,9226972725",Alta,"0,8","240,1463143",Muito Alta,1,"35,47986518",Média,"0,6","10,94261743",Muito Alta,1,"0,8557299843",,Baixa,"1037,892947",Muito Baixa,"0,2",8417473,"44,62307101",Baixa,"177,0615209",Média,"1,133771569",Muito Baixa,"0,8712080894",Média,174053,"19028874,92","100,8766926","6704388,717","35,5415947",Muito Baixa,6564733,1852740,7214473,5361733,1852740,1103000,1103000,0,100000,100000,0,0,0,0
43023,43,REGIAO 23,602569,Sul,"0,1682932909",Muito Baixa,"1,643407509",Completa,"0,2","0,525916534",Muito Baixa,"0,2","144,3818052",Baixa,"0,4","15,36336537",Muito Baixa,"0,2","5,277913102",Muito Baixa,"0,2","0,9249881535",,Alta,"1967,137212",Muito Alta,1,7825077,"12,98619245",Muito Baixa,"94,09710755",Muito Baixa,"1,140996301",Muito Baixa,"0,8466710397",Baixa,316901,"41775130,09","69,32837582","14718511,32","24,42626706",Muito Baixa,4866000,2959077,"4726058,29",3216000,"1510058,29",650000,650000,0,1000000,1000000,0,1500000,0,1500000
43024,43,REGIAO 24,100644,Sul,"0,4522900521",Média,"1,02757536",Completa,"0,2","0,8697885617",Média,"0,6","166,925003",Média,"0,6","25,25252525",Baixa,"0,4","8,0939779",Alta,"0,8","0,9385582565",,Alta,"1939,536852",Muito Alta,1,6953508,"69,0901395",Alta,"173,8802114",Média,"3,407108223",Muito Alta,"0,8403967538",Baixa,87539,"14786673,72","146,9205687","5209746,182","51,76410101",Média,5148000,1805508,5871361,4198000,1673361,682147,550000,132147,400000,400000,0,0,0,0
43025,43,REGIAO 25,325366,Sul,"0,1938392456",Muito Baixa,"1,258155343",Completa,"0,2","0,6461308188",Muito Baixa,"0,2","130,0074378",Muito Baixa,"0,2","9,165062781",Muito Baixa,"0,2","6,075611517",Baixa,"0,4","0,9167409388",,Alta,"1742,524457",Alta,"0,8",16589096,"50,98595428",Média,"110,3372817",Muito Baixa,"2,22711654",Baixa,"0,8830426939",Alta,210229,"30427339,07","93,51726693","10720376,78","32,94866943",Muito Baixa,13695793,2893303,12145916,9474070,2671846,3543180,3321723,221457,900000,900000,0,0,0,0
43026,43,REGIAO 26,190035,Sul,"0,2671288973",Muito Baixa,"0,9345233881",Alta,"0,4","0,5565185361",Muito Baixa,"0,2","110,5059594",Muito Baixa,"0,2","66,55033772",Muito Alta,1,"5,207842947",Muito Baixa,"0,2","0,9513684211",,Muito Alta,"1600,589583",Alta,"0,8",12979745,"68,30186545",Alta,"94,19317494",Muito Baixa,"2,950298629",Alta,"0,8828125",Alta,105758,"21520377,41","113,2442835","7582212,618","39,89903238",Baixa,10343911,2635834,10789745,8153911,2635834,1940000,1940000,0,250000,250000,0,0,0,0
43027,43,REGIAO 27,193690,Sul,"0,612945738",Muito Alta,"1,069889675",Completa,"0,2","0,9287056637",Alta,"0,8","238,5254789",Muito Alta,1,"123,1216959",Muito Alta,1,"7,872801775",Alta,"0,8","0,9020022561",,Alta,"1289,905291",Baixa,"0,4",13170312,"67,99686096",Alta,"183,7988538",Alta,"2,129294233",Baixa,"0,8866937827",Alta,179881,"25399820,68","131,1364587","8949045,695","46,20293095",Média,10196187,2974125,10674125,7700000,2974125,2223855,2223855,0,272332,272332,0,0,0,0
43028,43,REGIAO 28,351534,Sul,"0,4313867791",Média,"1,020960945",Completa,"0,2","0,7988644057",Baixa,"0,4","198,2738512",Muito Alta,1,"38,74526747",Média,"0,6","5,847614285",Baixa,"0,4","0,8488876212",,Baixa,"1680,815144",Alta,"0,8",20818417,"59,22163148",Média,"144,7939602",Baixa,"2,214562461",Baixa,"0,839905827",Baixa,280828,"39992144,12","113,7646547",14090317,"40,08237327",Baixa,17723916,3094501,11258879,8164378,3094501,9259538,9259538,0,300000,300000,0,0,0,0
