id,name,populacao,UF,região,tipologia_urb_rural,INEAB,INEAB_FAIXA,COBERTURA_AB,COBERTURA_AB_FAIXA,COBERTURA_AB_NOTA,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_FAIXA,MORT_MAT,MATER_FAIXA,MATER_NOTA,MORT_INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,VACINACAO_FAIXA,ORC_PERCAP,FAIXA_ORC_PERCAP,NOTA_ORC_PERCAP,EMENDAS_PERCAP,FAIXA_EMENDAS_PERCAP,EMENDAS_TOTAL,ICSAP,FAIXA_ICSAP,CONSULTAS_APS_HAB,FAIXA_CONSULTAS_APS_HAB,PRE_NATAL,FAIXA_PRE_NATAL,POP_SUS,TETO_EMENDAS_MS,TETO_EMENDAS_PERCAP,TETO EMENDAS_AJUSTADO,TETO_AJUSTADO_PERCAP,TETO_AJUSTADO_PERCAP_FAIXA,EMENDAS_TOTAL_CUSTEIO,EMENDAS_TOTAL_INVES,EMENDAS_IND_TOTAL,EMENDAS_IND_CUSTEIO,EMENDAS_IND_INVES,EMENDAS_COMISS_TOTAL,EMENDAS_COMISS_CUSTEIO,EMENDAS_COMISS_INVES,EMENDAS_BANC_TOTAL,EMENDAS_BANC_CUSTEIO,EMENDAS_BANC_INVES,EMENDAS_REL_TOTAL,EMENDAS_REL_CUSTEIO,EMENDAS_REL_INVES
51,Mato Grosso,3836399,MT,Centro-Oeste,Rural,"0,5262202767",Muito Alta,"0,9901630356",Alta,"0,4","0,8222191824",Média,"0,6","124,622074",Baixa,"0,4","52,80942742",Alta,"0,8","8,856078305",Muito Alta,1,"0,85897095",Média,"1784,073044",Alta,"0,8","47,43903176",Muito Alta,181995054,"149,0878647",Alta,"1,762354831",Alta,"0,8028956203",Muito Alta,3149615,"561198437,2","146,2826044","171480033,9","44,698175",Baixa,162200903,19794151,146524492,127230295,19294197,35470562,34970608,499954,0,0,0,0,0,0
50,Mato Grosso do Sul,2901895,MS,Centro-Oeste,Rural,"0,4585276173",Alta,"1,020086231",Completa,"0,2","0,7642126955",Baixa,"0,4","152,3831841",Muito Alta,1,"52,03100853",Baixa,"0,4","8,091585909",Alta,"0,8","0,9341740263",Muito Alta,"1980,477807",Muito Alta,1,"44,80576692",Baixa,130021631,"183,4318609",Muito Alta,"1,952481051",Muito Alta,"0,7987036156",Alta,2217665,"460283339,4","158,6147464","145830014,4","50,2533739",Muito Alta,109594287,20427344,98812800,73152161,25660639,36706688,36442126,264562,0,0,0,0,0,0
31,Minas Gerais,21322691,MG,Sudeste,Rural,"0,2908268942",Baixa,"1,161198088",Completa,"0,2","0,7270672356",Muito Baixa,"0,2","136,8776577",Muito Baixa,"0,2","45,36714148",Alta,"0,8","7,231005793",Muito Baixa,"0,2","0,8743907099",Alta,"1941,035021",Muito Alta,1,"34,11119741",Alta,727342522,"156,893893",Muito Alta,"1,900230698",Muito Alta,"0,8302067994",Alta,15503030,3445246347,"161,5765265",1127552974,"52,88042557",Muito Alta,676754539,50587983,"437591390,1","388735017,9","48856372,26",221530542,220228227,1302315,"67697033,94","67586336,4","110697,54",760189,210216,549973
15,Pará,8664306,PA,Norte,Urbano,"0,4119820283",Média,"1,023173887",Completa,"0,2","0,8956131051",Alta,"0,8","104,7285264",Alta,"0,8","68,8572862",Baixa,"0,4","10,17952025",Média,"0,6","0,7432171213",Muito Baixa,"1044,042872",Baixa,"0,4","52,23272077",Muito Baixa,452560276,"158,1430757",Alta,"0,9124842774",Muito Baixa,"0,6233183857",Média,7759866,1481871123,"171,031716","510968966,6","58,9740213",Média,439317760,13242516,"283652456,9","272173588,1","11478868,83",115823321,115558638,264683,"51203853,67","51196563,67",7290,2019199,500055,1519144
25,Paraíba,4145040,PB,Nordeste,Rural,"0,4084423214",Baixa,"1,474362635",Completa,"0,2","0,8879180901",Alta,"0,8","134,0397198",Alta,"0,8","52,90720527",Baixa,"0,4","9,176647174",Baixa,"0,4","0,7922865042",Baixa,"1423,285977",Alta,"0,8","112,0638477",Alta,"464509131,3","147,2603401",Alta,"1,870534422",Muito Alta,"0,7597216717",Baixa,3680456,"953792075,9","230,1044323","336121654,5","81,09008706",Muito Alta,446922744,"17586387,3","227376034,3",211805079,"15570955,3",133056659,131441217,1615442,103682444,103682444,0,399990,0,399990
41,Paraná,11824665,PR,Sul,Rural,"0,5425885029",Muito Alta,"0,9654229412",Alta,"0,4","0,7332277067",Muito Baixa,"0,2","152,9937635",Média,"0,6","49,06053541",Muito Alta,1,"6,922846012",Muito Alta,1,"0,9065633306",Muito Alta,"1580,733788",Muito Alta,1,"44,18376935",Muito Alta,522458271,"166,6009143",Muito Alta,"1,892433147",Muito Baixa,"0,8833229172",Muito Alta,8670172,1460931641,"123,5495163","514380896,6","43,50067394",Média,503475163,18983108,"339720202,7","321372224,6","18347978,16",128468503,128071691,396812,53958198,53946798,11400,476485,90748,385737
26,Pernambuco,9539029,PE,Nordeste,Urbano,"0,3394941351",Muito Baixa,"1,15324214",Completa,"0,2","0,8487353377",Média,"0,6","146,9541606",Muito Alta,1,"47,70558766",Muito Baixa,"0,2","8,920750454",Baixa,"0,4","0,8001529356",Baixa,"1010,925973",Muito Baixa,"0,2","59,47410035",Muito Baixa,567325168,"157,3011257",Muito Alta,"1,297232769",Baixa,"0,7979244547",Muito Alta,8096111,1727716039,"181,120745","595208300,2","62,39715806",Baixa,557620214,9704954,"371503018,2","362729166,2",8773852,122488922,121557820,931102,73396033,73396033,0,0,0,0
22,Piauí,3375646,PI,Nordeste,Rural,"0,5271904696",Muito Alta,"1,504462737",Completa,"0,2","0,8786507827",Alta,"0,8","125,0427326",Baixa,"0,4","75,74648569",Muito Alta,1,"9,851437139",Alta,"0,8","0,8876325801",Muito Alta,"1547,954113",Muito Alta,1,"159,4793207",Muito Alta,538345731,"152,2967752",Alta,"1,538715553",Média,"0,7562013134",Muito Baixa,2966014,"862715965,7","255,5706273","304025924,6","90,06451642",Muito Alta,509470085,28875646,257505828,240831299,16674529,124255681,112841404,11414277,155797382,155797382,0,788000,0,788000
33,Rio de Janeiro,17219679,RJ,Sudeste,Urbano,"0,5565913279",Muito Alta,"0,8479771069",Média,"0,6","0,678769912",Muito Baixa,"0,2","173,6037007",Muito Alta,1,"67,47456661",Muito Alta,1,"9,194495605",Muito Alta,1,"0,7541553362",Muito Baixa,"1600,350836",Baixa,"0,4","32,36334513",Baixa,"557286414,6","104,6593261",Muito Baixa,"1,390019407",Baixa,"0,7919739146",Baixa,11688200,1709952269,"99,30221518","544240469,6","31,60572677",Baixa,"522801328,6",34485086,"352311853,4","325265404,4",27046449,163902446,156432012,7470434,"41114079,5","41114079,5",0,"7493001,36","7493001,36",0
24,Rio Grande do Norte,3446071,RN,Nordeste,Urbano,"0,4250565354",Média,"1,320585794",Completa,"0,2","0,8174164142",Baixa,"0,4","134,9652982",Alta,"0,8","65,95403343",Alta,"0,8","7,971426633",Muito Baixa,"0,2","0,8378895474",Média,"1548,768488",Muito Alta,1,"87,78049466",Baixa,302497817,"129,1615872",Baixa,"1,660512218",Alta,"0,7843137255",Alta,2816875,"684800276,6","198,7191432","237117716,8","68,80813449",Alta,276732414,"25765403,03",174563875,152159011,22404864,31548621,30251456,1297165,"95265438,03",93372051,"1893387,03",1119883,949896,169987
43,Rio Grande do Sul,11229915,RS,Sul,Urbano,"0,4753239201",Média,"0,9832275487",Alta,"0,4","0,766651484",Baixa,"0,4","173,2693435",Muito Alta,1,"36,4245656",Média,"0,6","6,346477094",Média,"0,6","0,8742840559",Alta,"1527,034769",Média,"0,6","42,73544409",Média,"479915404,6","159,8409249",Média,"2,251134225",Média,"0,8311034142",Muito Baixa,8609431,1278926941,"113,8857188","445361687,9","39,65850925",Muito Baixa,364824772,"115090632,6","368311574,2","257354263,7","110957310,5",95469665,92850190,2619475,14641177,14641177,0,1654600,0,1654600
11,Rondônia,1746227,RO,Norte,Urbano,"0,3987071097",Baixa,"1,058347605",Completa,"0,2","0,906152522",Muito Alta,1,"122,1490677",Muito Alta,1,"38,37378064",Muito Baixa,"0,2","8,738996556",Muito Baixa,"0,2","0,8995210904",Muito Alta,"1350,149967",Muito Alta,1,"78,51949718",Muito Baixa,137112866,"200,317599",Muito Alta,"1,057373984",Média,"0,7766038454",Muito Alta,1582348,"262042709,9","150,0622256","92345314,5","52,88276639",Muito Baixa,105113812,31999054,117725952,86798562,30927390,19386914,18315250,1071664,0,0,0,0,0,0
14,Roraima,716793,RR,Norte,Rural,"0,5548666909",Muito Alta,"1,372273559",Completa,"0,2","0,9566667085",Muito Alta,1,"92,35581263",Muito Baixa,"0,2","136,9187224",Muito Alta,1,"14,26171",Muito Alta,1,"0,7479806812",Muito Baixa,"1177,657956",Alta,"0,8","171,1940602",Muito Alta,122710704,"133,3718382",Muito Baixa,"1,047829708",Baixa,"0,5403587444",Muito Baixa,685732,"91028229,12","126,9937473","32078856,34","44,75330582",Muito Baixa,87665425,35045279,107123275,73141584,33981691,15067439,14523841,543598,0,0,0,519990,0,519990
42,Santa Catarina,8058441,SC,Sul,Rural,"0,1575764841",Muito Baixa,"1,169964605",Completa,"0,2","0,7878824204",Baixa,"0,4","145,387923",Muito Baixa,"0,2","33,5601245",Muito Baixa,"0,2","6,211048423",Muito Baixa,"0,2","0,8296549552",Baixa,"1497,48257",Muito Baixa,"0,2","35,42402941",Muito Baixa,285462451,"148,3041199",Muito Baixa,"2,715464443",Muito Alta,"0,8429630619",Média,6349104,1077957424,"133,7674897",379186525,"47,05457606",Muito Alta,267084026,18378425,"178045826,1","160924943,4","17120882,65",41997420,40667005,1330415,65382784,65382784,0,124972,124972,0
35,São Paulo,45973194,SP,Sudeste,Urbano,"0,3624446063",Alta,"0,7044752051",Baixa,"0,8","0,6040743438",Muito Baixa,"0,2","164,8264856",Alta,"0,8","40,89157389",Muito Baixa,"0,2","7,454301035",Baixa,"0,4","0,8674265083",Alta,"1669,777713",Alta,"0,8","15,72913524",Muito Baixa,723118586,"125,5035706",Baixa,"1,230245499",Muito Baixa,"0,837983318",Muito Alta,27771227,3773328587,"82,07671164",1231207318,"26,78098281",Muito Baixa,662252348,60866238,"519987106,6","460412220,2","59574886,38",202850731,201285308,1565423,"43114,02","97,62","43016,4",849984,600000,249984
28,Sergipe,2291077,SE,Nordeste,Rural,"0,4090392772",Baixa,"1,22957334",Completa,"0,2","0,8521651608",Média,"0,6","119,4198187",Muito Baixa,"0,2","64,07141223",Alta,"0,8","11,64995209",Muito Alta,1,"0,8564226344",Média,"1077,796954",Muito Baixa,"0,2","101,8882403",Alta,233433804,"96,85401233",Muito Baixa,"1,288601824",Baixa,"0,7613260084",Média,1952376,"450437798,1","196,6052639","129771580,6","56,64217334",Muito Baixa,224908656,8525148,176244870,167851991,8392879,40376840,40244571,132269,16812094,16812094,0,0,0,0
17,Tocantins,1577342,TO,Norte,Rural,"0,5149959869",Alta,"1,465267357",Completa,"0,2","0,9196356909",Muito Alta,1,"116,6519372",Muito Alta,1,"76,44620234",Alta,"0,8","8,383397703",Muito Baixa,"0,2","0,8661421459",Alta,"1427,040743",Muito Alta,1,"134,9177166",Média,212811381,"165,0244525",Muito Alta,"2,179690264",Muito Alta,"0,7810835023",Muito Alta,1450580,383387639,"243,0592979","135107945,2","85,65545406",Muito Alta,195472416,17338965,141271379,127752174,13519205,48276666,47971866,304800,19748376,19748376,0,3542960,0,3542960
