id,uf_id,name,populacao,regiao,INEAB,INEAB_FAIXA,COBERTURA_AB,COBERTURA_AB_FAIXA,COBERTURA_AB_NOTA,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_OBS,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT,MORT_MAT_FAIXA,MORT_MAT_NOTA,MORT_INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,VACINACAO_FAIXA,VACINACAO_OBS,ORC_PERCAP,ORC_PERCAP_FAIXA,ORC_PERCAP_OBS,ORC_PERCAP_NOTA,EMENDAS_PERCAP,EMENDAS_PERCAP_FAIXA,EMENDAS_TOTAL
13007,13,REGIONAL JURUA,128.161,Norte,"0,777382979",Muito Alta,"0,6926973823",Muito Baixa,1,"0,996644845",Muito Alta,,1,"73,34524543",Muito Baixa,"0,2","98,79211435",Alta,"0,8","13,57777378",Muito Alta,1,"0,65",Muito Baixa,,"1078,024937",Alta,,"0,8","171,499684",Muito Alta,"  21.979.571,00 "
13008,13,TRIANGULO,139.086,Norte,"0,597105388",Média,"0,867514976",Média,"0,6","0,995175647",Muito Alta,,1,"71,89796241",Muito Baixa,"0,2","88,09452448",Alta,"0,8","8,506465963",Média,"0,6","0,76",Muito Baixa,,"1322,376303",Muito Alta,,1,"135,2816531",Alta,"  18.815.784,00 "
13009,13,ALTO SOLIMOES,262.013,Norte,"0,677734311",Muito Alta,"0,6982384001",Muito Baixa,1,"0,996668104",Muito Alta,,1,"65,64559774",Muito Baixa,"0,2","65,07128988",Média,"0,6","10,32256972",Alta,"0,8","0,61",Muito Baixa,,"1064,996059",Média,,"0,6","130,4109147",Alta,"  34.169.355,00 "
14001,14,CENTRO NORTE,545.847,Norte,"0,698202683",Muito Alta,"0,8606817185",Média,"0,6","0,943517139",Alta,,"0,8","113,5849423",Média,"0,6","184,4824996",Muito Alta,1,"14,43935161",Muito Alta,1,"0,66",Muito Baixa,,"811,7900069",Baixa,,"0,4","129,060528",Alta,"  70.447.302,00 "
14002,14,SUL,90.456,Norte,"0,577390333",Média,"0,9046372555",Alta,"0,4","0,995500575",Muito Alta,,1,"74,0691607",Muito Baixa,"0,2","137,9879873",Muito Alta,1,"8,978824531",Média,"0,6","0,83",Baixa,,"1145,83342",Muito Alta,,1,"213,2003073",Muito Alta,"  19.285.247,00 "
15001,15,ARAGUAIA,454.710,Norte,"0,708353368",Muito Alta,"0,7585773335",Baixa,"0,8","0,957234281",Alta,,"0,8","101,6032196",Média,"0,6","90,68971143",Alta,"0,8","10,29393608",Alta,"0,8","0,84",Baixa,,"1014,86479",Média,,"0,6","41,39278221",Muito Baixa,"  18.821.712,00 "
15002,15,BAIXO AMAZONAS,804.486,Norte,"0,576051292",Média,"0,8222667755",Média,"0,6","0,929114988",Alta,,"0,8","91,85989564",Baixa,"0,4","102,7359186",Alta,"0,8","11,09573613",Alta,"0,8","0,66",Muito Baixa,,"735,8178118",Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,4","21,06498785",Muito Baixa,"  14.635.448,00 "
15003,15,CARAJAS,943.862,Norte,"0,512945685",Baixa,"0,797671226",Baixa,"0,8","0,82733175",Baixa,,"0,4","93,33991622",Baixa,"0,4","75,46180874",Média,"0,6","7,153027263",Baixa,"0,4","0,77",Muito Baixa,,"1377,06588",Muito Alta,,1,"38,31004889",Muito Baixa,"  23.498.273,00 "
15004,15,LAGO DE TUCURUI,334.230,Norte,"0,780023337",Muito Alta,"0,6083834794",Muito Baixa,1,"0,975029172",Muito Alta,,1,"123,8667983",Alta,"0,8","96,82335181",Alta,"0,8","8,817753746",Média,"0,6","0,68",Muito Baixa,,"1011,224161",Média,,"0,6","51,75464201",Baixa,"  17.297.954,00 "
15006,15,METROPOLITANA I,1.977.338,Norte,"0,697039414",Muito Alta,"0,4246857859",Muito Baixa,1,"0,741531291",Baixa,,"0,4","154,4500738",Muito Alta,1,"105,4494791",Muito Alta,1,"13,4139934",Muito Alta,1,"0,63",Muito Baixa,,"811,606944",Baixa,,"0,4","12,03514736",Muito Baixa,"  23.032.516,00 "
15007,15,METROPOLITANA II,356.800,Norte,"0,491192545",Muito Baixa,"0,7745230753",Baixa,"0,8","0,98238509",Muito Alta,,1,"105,3811659",Média,"0,6","40,83563871",Muito Baixa,"0,2","5,126234856",Baixa,"0,4","0,67",Muito Baixa,,"548,8475391",Muito Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,2","50,82910034",Baixa,"  18.135.823,00 "
15008,15,METROPOLITANA III,841.258,Norte,"0,520062716",Baixa,"0,8445215539",Média,"0,6","0,963079103",Alta,,"0,8","119,2262065",Alta,"0,8","48,1814996",Baixa,"0,4","5,770791424",Baixa,"0,4","0,79",Muito Baixa,,"819,8033932",Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,4","52,18124155",Baixa,"  42.029.955,00 "
15009,15,RIO CAETES,510.682,Norte,"0,532200548",Baixa,"0,8892767328",Média,"0,6","0,985556569",Muito Alta,,1,"109,2656487",Média,"0,6","74,97414877",Média,"0,6","5,740722998",Baixa,"0,4","0,78",Muito Baixa,,"760,6075589",Baixa,,"0,4","75,14849358",Média,"  38.376.983,00 "
15010,15,TAPAJOS,250.293,Norte,"0,650366570",Alta,"0,8247235955",Média,"0,6","0,929095101",Alta,,"0,8","83,5021355",Baixa,"0,4","112,7868062",Muito Alta,1,"18,93915247",Muito Alta,1,"0,65",Muito Baixa,,"842,8534574",Baixa,,"0,4","32,73506251",Muito Baixa,"  8.193.357,00 "
15011,15,TOCANTINS,709.144,Norte,"0,640095270",Alta,"0,6660511088",Muito Baixa,1,"0,941316573",Alta,,"0,8","86,58326095",Baixa,"0,4","63,27835579",Média,"0,6","10,15495971",Alta,"0,8","0,62",Muito Baixa,,"603,4916501",Muito Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,2","36,43992052",Muito Baixa,"  25.841.151,00 "
15012,15,XINGU,373.351,Norte,"0,605758388",Média,"0,8036436964",Média,"0,6","0,977029658",Muito Alta,,1,"97,22754191",Média,"0,6","75,6001931",Média,"0,6","9,082476491",Alta,"0,8","0,71",Muito Baixa,,"815,6414999",Baixa,,"0,4","33,14535116",Muito Baixa,"  12.374.850,00 "
15013,15,MARAJO I,234.276,Norte,"0,557267838",Baixa,"0,4062391182",Muito Baixa,1,"0,995121139",Muito Alta,,1,"77,259301",Baixa,"0,4","25,5962534",Muito Baixa,"0,2","8,033130154",Média,"0,6","0,58",Muito Baixa,,"632,4041984",Muito Baixa,,"0,2","62,84030374",Média,"  14.721.975,00 "
15014,15,MARAJO II,325.702,Norte,"0,716611135",Muito Alta,"0,455729127",Muito Baixa,1,"0,995293244",Muito Alta,,1,"49,43168909",Muito Baixa,"0,2","113,6456232",Muito Alta,1,"10,61608053",Alta,"0,8","0,45",Muito Baixa,,"628,6010647",Muito Baixa,,"0,2","63,03142443",Média,"  20.529.461,00 "
16001,16,AREA CENTRAL,495.027,Norte,"0,749882249",Muito Alta,"0,4789851576",Muito Baixa,1,"0,892716963",Média,,"0,6","120,3974733",Alta,"0,8","101,7773481",Alta,"0,8","14,89098095",Muito Alta,1,"0,59",Muito Baixa,,"523,7894833",Muito Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,2","125,8370513",Média,"  62.292.738,00 "
16002,16,AREA NORTE,62.785,Norte,"0,453838337",Muito Baixa,"0,9305012418",Alta,"0,4","0,986605081",Muito Alta,,1,"58,93127339",Muito Baixa,"0,2","74,01039748",Média,"0,6","10,80757669",Alta,"0,8","0,69",Muito Baixa,,"427,2914693",Muito Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,2","305,7158079",Muito Alta,"  19.194.367,00 "
16003,16,AREA SUDOESTE,175.696,Norte,"0,571334578",Baixa,"0,7021466574",Baixa,"0,8","0,952224297",Alta,,"0,8","93,912212",Baixa,"0,4","79,03338654",Alta,"0,8","5,840284306",Baixa,"0,4","0,69",Muito Baixa,,"878,7642173",Baixa,,"0,4","218,2845637",Muito Alta,"  38.351.724,71 "
17001,17,MEDIO NORTE ARAGUAIA,278.397,Norte,"0,574579611",Média,"0,8820326679",Média,"0,6","0,926741308",Alta,,"0,8","131,4669339",Alta,"0,8","45,91965316",Baixa,"0,4","8,33756892",Média,"0,6","0,85",Baixa,,"1134,672931",Alta,,"0,8","61,92234489",Baixa,"  16.703.181,00 "
17002,17,BICO DO PAPAGAIO,196.920,Norte,"0,449168089",Muito Baixa,"0,9405825753",Alta,"0,4","0,976452366",Muito Alta,,1,"116,7987",Média,"0,6","57,24254847",Baixa,"0,4","5,698457301",Baixa,"0,4","0,95",Alta,,"1062,645337",Média,,"0,6","162,3102173",Alta,"  31.962.128,00 "
17003,17,SUDESTE,87.640,Norte,"0,516160885",Baixa,"0,9483701113",Alta,"0,4","0,955853492",Alta,,"0,8","127,7955272",Alta,"0,8","37,20238095",Muito Baixa,"0,2","7,607486488",Média,"0,6","0,91",Alta,,"1276,75208",Muito Alta,,1,"171,1940991",Muito Alta,"  14.621.688,00 "
17004,17,CERRADO TOCANTINS ARAGUAIA,151.090,Norte,"0,625643656",Alta,"0,9340085476",Alta,"0,4","0,947944933",Alta,,"0,8","140,9755775",Muito Alta,1,"122,246364",Muito Alta,1,"4,565915462",Muito Baixa,"0,2","0,93",Alta,,"1240,477199",Muito Alta,,1,"145,1565292",Alta,"  21.931.700,00 "
17005,17,ILHA DO BANANAL,177.433,Norte,"0,457806609",Muito Baixa,"0,9562322109",Alta,"0,4","0,915613217",Média,,"0,6","134,1351383",Alta,"0,8","57,3980999",Baixa,"0,4","4,294964836",Muito Baixa,"0,2","0,83",Baixa,,"1199,8687",Muito Alta,,1,"167,8647039",Muito Alta,"  29.784.738,00 "
17006,17,CAPIM DOURADO,375.713,Norte,"0,600379119",Média,"0,985822595",Alta,"0,4","0,833859888",Baixa,,"0,4","102,4718336",Média,"0,6","213,0353771",Muito Alta,1,"12,93652638",Muito Alta,1,"0,78",Muito Baixa,,"1142,207636",Alta,,"0,8","51,71505112",Baixa,"  19.430.017,00 "
17007,17,CANTAO,126.761,Norte,"0,460873613",Muito Baixa,"0,9366903877",Alta,"0,4","0,960153359",Alta,Calculo realizado sem os municípios com informações de 2024 indisponíveis,"0,8","141,9995109",Muito Alta,1,0,Muito Baixa,"0,2","4,152424987",Muito Baixa,"0,2","0,91",Alta,,"1144,033056",Alta,,"0,8","161,7388347",Alta,"  20.502.176,43 "
17008,17,AMOR PERFEITO,117.505,Norte,"0,435771754",Muito Baixa,"0,9687192096",Alta,"0,4","0,947329901",Alta,,"0,8","121,6969491",Alta,"0,8","22,25189141",Muito Baixa,"0,2","4,147944768",Muito Baixa,"0,2","0,82",Baixa,,"1239,275188",Muito Alta,,1,"180,1681716",Muito Alta,"  21.170.661,00 "
21001,21,ACAILANDIA,258.904,Nordeste,"0,502613556",Média,"0,8206492058",Média,"0,6","0,930765844",Alta,,"0,8","114,3280907",Muito Baixa,"0,2","69,22585885",Alta,"0,8","4,128161435",Baixa,"0,4","0,86",Média,,"1079,557237",Alta,,"0,8","46,40171684",Muito Baixa,"  9.437.970,00 "
